header,author,date,place,content,aircraft,traveller_type,seat_type,route,date_flown,recommended,trip_verified,rating,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment,cleaned_aircraft
"""disappointed in this plane and service""",Solo Leisure,08/23/19,United Kingdom,"  The food was below standard and the economy seats were very narrow and barely much leg room. Very disappointed in this plane and service. on our way from London to Dubai they gave us what i assume was mash potato and meat, and on our return from Dubai to London it was chicken and rice. I feel that they really are punishing us for flying economy class. I honestly will be trying other providers for this leg of the journey in the future",A380,Solo Leisure,Economy Class,London to Dubai,08/23/19,no,Not Verified,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A380-800
"""not much positive to say""",Business,08/16/19,Australia,"  Christchurch to Sydney. Certainly not much positive to say about this airline other than the check in team were nice and efficient. All down hill from there, as we were delayed for take-off due to an ill passanger as soon as we had pushed back. No issue with illness, the problem was in Business no service was given to me even when after an hour I finally caught an attendant's eye for another drink and was abruptly told they were preparing for take-off again even though they were waiting on every whim of some other business guests. I'd paid for ""flexi business"" so not a cheap flight, yet the decor in the A380 is not to my taste of immitation golds, printed wood effect panelling with odd blue/grey seat shells, not relaxing or a calming vibe. Seats were otherwise comfortable, IFE remote is terrible for user functionality, and tray-table traps you in the seat so no mid-meal toilet trips. Crew were just a cog in the machine as they weren't personable and seemed distant to interact with everytime. My meal was quite tasty, another issue here was ordering Pinot Noir wasn't possible even simply asking for a red wine, still a blank stare so I gave up after multiple attempts as said pour whatever and ended up an musky white wine I couldn't drink. The attendands all understood English well, so it surprised me that it was so difficult to request a wine and even point at it on the menu! I was delayed and put up in a hotel for the night, however the shuttle driver only knew of one hotel to take us to and unfortunately only some of us were booked there. That hotel now full and multiple calls to Emirates, I was then told I was booked in a average hotel half-hour away even though I was the only Business guest and make my own way to the correct hotel. There weren't any Emirates members at the airport on the ground as many guests went around looking (myself included), so the only contact was once off the aircraft on the bridge an Emirates member told you which shuttle stop and a generic hotel name. All incorrect and one phone call I was told an Emirates ground agent would be waiting at the shuttle stop and they never did. In short if you must fly Emirates only book economy as that's the only value you will receive!",A380,Business,Business Class,Christchurch to Sydney,08/16/19,no,Trip Verified,1.0,3.0,2.0,4.0,1.0,1.0,3.0,A380-800
"""a displeasing attitude""",Family Leisure,08/14/19,Sri Lanka,"  My first sector was from Madrid to Dubai. The purser on this flight was the crown jewel of the Emirates hospitality I remembered from my past travels. However she was assigned to business class whilst I was served by one crew who made my Emirates journey an utter disaster. The food on this flight was spectacular. The beef lasagna was great. The entertainment was limited compared to the newer A380s however it did have brilliant things that kept me entertained for 7 hours. Before take off I noticed that a customer who complained of a leaking AC was just shut down by a crew member who said 'cover your head for now, it'll stop after take off'. What a displeasing attitude from an airline renowned to be one of the best in the world.  At the meal service I noticed that meals run out when it comes to the seats at the back. The menu on that flight consisted of a chicken and beef option only, even though traditionally airlines of that calibre opt to offer a vegetarian option too. They had run out of the chicken option and my friend who for religious reasons does not consume beef, was forced with the beef option saying that was all they had. Whilst they refused to eat it, the crew who were called many times didn't even make a single appearance to enquire. Finally when it came to the pre arrival snack, they offered a chicken option and cheese option. The crew member just served the food without asking what I wanted. When I opened I realised I was given the tasteless cheese option. However, the passengers behind us were offered both where they had a choice.  My next flight was from Dubai to Colombo. Another unpleasant journey with the unsuitable comportment of the cabin crew. One of them refused to pour a full glass of apple juice for my father. ",A380-800 / Boeing 777-300,Family Leisure,Economy Class,Madrid to Colombo via Dubai,08/14/19,no,Trip Verified,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A380-800
"""Very disappointed""",Couple Leisure,08/13/19,Singapore,"  Singapore to Barcelona via Dubai with Emirates. First time experiencing blankets and headphones being collected before landing. When requesting to keep the blankets as I was still cold, they said they had to take them nevertheless. Another passenger experienced the same response. Food service was slow comparatively, especially for me who was seated at last portion of the cabin. Stewardess attitude was very lukewarm. Requested for water but was forgotten once, declined once, ignored once though we hit the service button, asked to wait once and then fifth staff I finally got my water. Very disappointed.",A380,Couple Leisure,Economy Class,Singapore to Barcelona via Dubai,08/13/19,no,NotVerified,5.0,4.0,2.0,2.0,3.0,3.0,3.0,A380-800
"""venture of cost cutting""",Family Leisure,08/12/19,Sri Lanka,"  Colombo to Zurich via Dubai. The last time I flew Emirates I was quite young and overly obsessed by the greatness of its product and inflight service. However, Emirates has decided to put the past behind and embark on a poorly schemed, appalling venture of cost cutting at the cost of passenger comfort whilst still charging passengers exorbitantly. The first sector was from Colombo to Dubai. It was quite acceptable that Emirates never focused on its Asian sectors for they have extreme confidence that it's competitive pricing and brand name would get them customers inevitably. Therefore, I boarded this old 777-300, the inflight entertainment was certainly not much of a great deal on the first sector with quite limited options and by trying to handle it's terribly dysfunctional remote and put it back into its position, the wire had cut my finger. It gave me the worst airplane food ever. The crew on this sector thought were the only appealing segments of what I would call the emisery. They were attentive and kind and maintained a smile but however did not go the extra mile like the qatar airways cabin crew who were an extreme delight. Furthermore, another factor that put me off completely was how narrow and uncomfortable seats were. It was a completely disastrous 4 hours and 10 minutes. The next sector was from Dubai to Zurich with a layover of about 2 hours and 30 minutes. The layover was quite bad with basically no one willing to help us in the airport.  we boarded a brilliant A380 that was the only thing as good as they advertise. Once again a repetitive episode of rude crew and even worse food. We were promised snacks by the airline on a 6 and a half hour flight that we expected would be of some quality - we were given a tiny packet of popcorn. I will never ever fly Emirates or recommend it.",Boeing 777-300 / A380-800,Family Leisure,Economy Class,Colombo to Zurich via Dubai,08/12/19,no,Trip Verified,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boeing 777-300ER
"""disappointed with level of service""",Business,08/10/19,Australia,"  Dubai to Melbourne via Singapore. I was very disappointed with level of service I experienced with Emirates. It was my first time and last time. I upgraded from economy class to business class (hopping things will be better), it was even worst. Crew members they look disinterested and some extremely tried.  3 times I was forgotten and had to ask when i should be expecting my meal (when everyone else was eating).  I will never travel or recommend Emirates.",Boeing 777,Business,Business Class,Dubai to Melbourne via Singapore,08/10/19,no,Trip Verified,1.0,4.0,1.0,2.0,2.0,2.0,3.0,Boeing 777-300ER
"""a 22-hour nightmare for us""",Family Leisure,08/07/19,United States,"  A few weeks ago, I flew between Los Angeles to Mumbai via Dubai with family and it was a 22-hour nightmare for us. This was our first time with Emirates. We have traveled extensively with other airlines like Etihad, BA, and Lufthansa. But this time, unfortunately, we decided to buy a nightmare by paying way more than other good airlines. It all started with check-in baggage. The check-in counter crew demanded our passports without greeting or smile. In the past, some stuff was stolen from my bags so I asked them to put the zip ties on the locks. After I insisted she threw some plastic zip ties at me and asked to put them on the locks with a red face. They flew one of the filthiest A380 on the planet. The plane looked pretty old with dirty bathrooms and broken seats. I requested the Hindu meal for my family (three of us) and the steward only got two of the meals. I asked him politely about my meals and his response was ""I only got two hands"". Later he came back and said he accidentally gave it to someone else and I have to eat whatever they have left. I later talked to the head of the crew about the incident and she apologized and promised me that she will take care of the next meal. Nothing happened except now ""The steward"" giving us angry looks every time he passes by. They only gave us two blankets and when I asked him for a blanket he (obviously) said that they don't have any blankets.",A380,Family Leisure,Economy Class,Los Angeles to Mumbai via Dubai,08/07/19,no,Trip Verified,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A380-800
"""poor cabin service in economy""",Family Leisure,08/04/19,United States,"  Dubai to Chicago. Five passengers in my group, the cabin crew refused to give us even one overhead space by rearranging the smallish purses or backpacks of passengers sitting elsewhere who had lavishly thrown them around! When requested at least one overhead space, curt reply was ""this space is for everyone"". So next time onwards I should throw my cabin bags in the first overhead space I find and then proceed to find my seat. Is that the message they are sending their passengers? I am connecting in Dubai from a previous leg on Emirates as well. It is better not to talk about the poor cabin service in economy class in the previous leg, but I should briefly mention. It was a 4 hour flight and cabin crew disappeared after serving meals in a hurry after about 90 minutes into the trip. A fellow passenger who asked for the second option on the regular menu was told that he will have to wait 15 minutes for that to be served. This while the crew was telling the passengers that only ""option one"" of the menu they passed out is available!  Hoping that this leg DXB to ORD doesn't have anymore nasty surprises than the cabin luggage ""coaching"" we just received after boarding. Ok, about to take off!",Boeing 777-300 ER,Family Leisure,Economy Class,Dubai to Chicago,08/04/19,no,Trip Verified,3.0,3.0,1.0,1.0,4.0,2.0,4.0,Boeing 777-300ER
"""cabin service was generally lousy""",Couple Leisure,07/24/19,Ireland,"  Dublin to Bangkok via Dubai. I had high Expectations from Emirates given their good reputation however when flying with them from Dubai to Bangkok the cabin service was rubbish. There was a 1 hour delay (Pakistani Airspace issues which is understandable) and no cabin members went around and offered us some water. After take off cabin service was generally lousy, They served us food and then vanished for the rest of the flight, when I buzzed an attended 2 hours in she comes up and says “eh sir your light is on just press it again to turn it off?.. I told her I just wanted a glass of water and I got it 10 minutes later, the same half bothered rude response was given the next time (2 hours later). I wanted a drink so I told her to get me 2 beers and I’ll leave them alone. The tables were not cleaned properly on this flight. The seats on the A380 were very soft and comfortable but they were rock hard on the Boeing 777 used for the Dublin flight. The ICE entertainment system has good music but doesn’t have good tv shows. On the positive side I had lots of legroom and my bags were delivered really quickly and handled well. Food and beverages were also good. I",A380,Couple Leisure,Economy Class,Dublin to Bangkok via Dubai,07/24/19,no,Trip Verified,5.0,2.0,1.0,4.0,5.0,3.0,2.0,A380-800
"""enjoyed the flight experience""",Business,07/23/19,New Zealand,"  Auckland to Istanbul via Dubai. Despite the lengthy flying hours I enjoyed the flight experience partly due to A380's ambience and quietness, but mostly due to the comfort of the seat, legroom and great in-flight food experience. The flight attendants were generous to give out snacks/drinks throughout which really helped. Having Wifi was revolutionary that ability of being able to connect to friends/family is  great! Having dual IFE screen on the IFE looked fancy but in the end it wasn't that interesting. The contents of ICE didn't live up to its hype to be honest.  From the air to the ground the staff did a stellar job looking after not just passengers, but also baggage, such as fragile items like musical instruments.",A380,Business,Economy Class,Auckland to Istanbul via Dubai,07/23/19,yes,Not Verified,9.0,4.0,4.0,4.0,5.0,4.0,3.0,A380-800
"""The seat was so uncomfortable""",Couple Leisure,07/20/19,Singapore," We flew with Emirates from Edinburgh to Singapore via Dubai. The segment between Edinburgh and Singapore was on a much older B777 wide-body plane. The seats do not lie 180 flat but at an angle. That is my main issue with the flight. The seat was so uncomfortable that I didn't get any sleep. The food was ok. The flight attendant was ok but lacking warmth. For instance, when I boarded the flight I handed over my jacket asking politely ""would you mind hanging this up for me"" to one of the flight attendants but was replied rather coldly that she would come back to me later. I understand that boarding is one of the busiest times for them but she was just not that friendly when she responded as if I was making an outrageous demand. However, the service in the second segment was better. Their A380-800 has an older fit-out and the stainless steel handrails make it really outdated but at least the seat lay flat 180 degrees and I managed to have a couple of hours sleep. The transit at Dubai airport was not a nice experience, the lounge is outdated and it was so crowded. It felt like being a cattle market. I wouldn't choose to fly with them on this route again especially the middle stop over actually breaks up the trip in half and you can not get a good long hours sleep.","Boeing 777W, A388",Couple Leisure,Business Class,Edinburgh to Singapore via Dubai,07/20/19,no,Trip Verified,6.0,2.0,3.0,3.0,3.0,3.0,4.0,Boeing 777W
"""Overall it is a mixed bag""",Family Leisure,07/18/19,Singapore,"  Singapore to London via Dubai. Ek353 from Singapore to Dubai night flight, very attentive service. The next sector ek001 Dubai to London no cabin crew walking, all disappear after the service. Glasgow to Dubai on an old A380, IFE there is a crack line, service attendant was good but when leaving plane the hand baggage door above our seat unable to open, cabin crew assisted us in opening the door. Very helpful staff on Ek028, from Dubai to Singapore unfriendly service, rude people not so friendly, never walk around with drinks after food service, just couldn't be bordered. Overall it is a mixed bag, but for the price will fly with them.",A380,Family Leisure,Economy Class,Singapore to London via Dubai,07/18/19,yes,Trip Verified,7.0,4.0,3.0,5.0,4.0,5.0,5.0,A380-800
"""strongly recommend it""",Couple Leisure,07/17/19,Italy,  Milan to Male via Dubai. I really enjoyed the flight in business class with Emirates both on A380 and B777. Airport lounge in Malpensa is really beautiful and organized. The staff on flight is great and so is flight entertainment. I strongly recommend it.,A380,Couple Leisure,Business Class,Milan to Male via Dubai,07/17/19,yes,Trip Verified,10.0,5.0,5.0,5.0,5.0,5.0,5.0,A380-800
"""luxury low-cost carrier""",Business,07/13/19,Thailand," Bangkok to Istanbul via Dubai. I never liked Emirates, but due to last minute booking, Emirates was only available. All my fears came true. BKK - DXB: It was an overnight flight, so not much service required. Still, my monitor did not work, instead of rebooting it, I was offered to relocate myself. I did not want to do this; nothing happened with my monitor in 6.45 hours. Not a big issue, but shows the interest of the crew in real customer service. The crew was the most unpassionate and unpolite I saw in the last year. I look out for details and me even the uniforms were worn without proud and just looked untidy. It seemed like they were just angry and unhappy with their employer and shortsighted they make their passenger pay it. DXB lounge: just not up to a standard for a 3,000 USD ticket. Food average, furniture is worn out, staff unfriendly. DXB - IST: at last, the crew was friendly, and this was a good flight experience. Overall for Emirates became a luxury low-cost carrier, with overpricing in the high-end market. Economy class for sure is well worth the money you pay.",A380,Business,Business Class,Bangkok to Istanbul via Dubai,07/13/19,no,❎ Not Verified,2.0,4.0,2.0,3.0,2.0,1.0,1.0,A380-800
"""Emirates should really rethink boarding times""",Family Leisure,07/08/19,Kuwait,"  Kuwait to Amman via Dubai on 3rd July 2019. If you ever depart from Kuwait and are flying Emirates, I’d strongly suggest using online check-in. At KWI, Emirates has a separate counter for online check-in passengers thus enabling passengers to skip the queue and proceed directly to the counter without having to wait. Be aware that during online check-in, you will not receive e-boarding passes if departing from Kuwait. I contacted Emirates and was told this is not an issue. At the counter, I received the boarding passes for both flights EK 856 (KWI-DXB) and my connecting flight EK 903 (DXB-AMM). The check-in experience was smooth, and within 10 minutes, I was through to immigration and security. Online check-in if departing from Kuwait is a lifesaver! First leg EK 856 from Kuwait to Dubai on the B777-300 ER. Boarding began 45 minutes prior to departure. It was chaotic as expected for a fully-booked flight. Unfortunately, the aircraft was really old (registration A6-EBE). The screen was very small and ICE version was also very old. 3-4-3 configuration is not a favorite, and the seats felt narrow. Only 1 meal choice and no menus were given. Aircraft was 30 minutes late departing Kuwait due to late completion of boarding. Luckily, arrival in Dubai was only 5 minutes late despite the 30 minute delay departing Kuwait. If possible, book a seat on the left or right side of the aircraft (rows A, B, C or H, J, K). These seats will feel less cramped than seats in the middle (rows D, E, F, G). I was seated in seat 33A. Overall, a good flight although I’d avoid the EK B777 economy product all-together (unfortunately EK doesn’t fly the A380 to Kuwait so that’s not possible). Second leg EK 903 from Dubai to Amman on the A380-800. First time flying the EK A380! Again, boarding began 45 minutes prior to departure. The aircraft was definitely newer (registration A6-EOU). ICE version was newer and screen was much bigger. Still a 3-4-3 configuration however much more comfortable than the 777. Just like the previous flight, no menus were given and there was only 1 meal choice. Aircraft was 30 minutes late departing Dubai and arrival in Amman was only 3 minutes late. I was seated in seat 78K. Baggage claim at AMM was abysmal! I wonder if the problem lies with Emirates or the baggage handling system at AMM. I can’t really give them much blame due to the fact that the aircraft was an A380, but waiting 1 hour and 15 minutes for baggage delivery is still unacceptable! Also, in my opinion, Emirates should really rethink boarding times. Boarding an aircraft 45 minutes prior to scheduled departure time surely guarantees a delay. On EK 856, pushback was not until 15 minutes after scheduled departure time and on EK 903, pushback was not until 13 minutes after scheduled departure time! In my opinion, boarding should begin 60 minutes prior to scheduled departure time. Also, Emirates should grant its aircraft a 2-hour turn-around time slot. This would give 1 hour to clean and prep the aircraft for boarding and an additional hour to complete boarding, ensuring an on-time departure.",Boeing 777-300 ER & A380-800,Family Leisure,Economy Class,Kuwait to Amman via Dubai,07/08/19,yes,Trip Verified,8.0,4.0,4.0,4.0,3.0,4.0,4.0,Boeing 777-300ER
"""The worst cabin service""",Business,07/04/19,Australia,"  Dubai to Manchester. The worst cabin service I have experienced on any airline. At great expense I took the flight from Dubai to Manchester yesterday, excited to be trying a business class seat on the A380. I fly often but I have to say this was the worst cabin crew I have ever experienced on any airline. I feel as if I paid for them to have a great holiday. I know that other passengers felt the same way. We were all SO upset that we talked to each other about it both on the plane and afterwards. From the moment of boarding, there was no usual warm welcome. I was greeted by a very grumpy hostile cabin attendant. When she brought the breakfast menu later she couldn’t answer simple questions about the ingredients. “I can’t say”. “Could you please find out?” “No, the meal is precooked, we can’t tell”. I have never had that response before. The crew stood and sat at the back chatting away having a great time. There were many of them and few passengers. A perfect opportunity to showcase individual, fantastic service. Unfortunately, the head of the cabin crew was at the back chatting with them all – so there was little leadership. After complaints from passengers, nothing changed. On take-off they did not remove our glasses, on landing they did not check that we were strapped in, they did not remove our cups and glasses once again. I choked on my breakfast and tried to call for help. I waved and pressed the service button. No one came. I managed to scramble out of my seat, balance my tray on the side and get to the bathroom where I vomited. The food was appalling, dry and over cooked. My tea was served cold. The attendant was so grumpy, rude and unhelpful that I actually asked her whether she’d had bad news from home. She said “I am tired!” I paid thousands of very hard-earned money for this flight – it is not the passengers’ job to do the work of the tired, disgruntled crew! They kept one toilet locked. They did not walk through the cabin to see if the passengers were ok. They did not help the mother with her 3 year old across the aisle from me. Airlines need to understand – we passengers no longer want glamour, lipstick, tight skirts and high heels – we want professional, great service from intelligent crew - happy to be in their highly sought-after jobs!",A380,Business,Business Class,Dubai to Manchester,07/04/19,no,Trip Verified,2.0,4.0,1.0,2.0,3.0,1.0,4.0,A380-800
"""impressed with every aspect""",Business,07/02/19,United Kingdom,"  Birmingham to Bangkok via Dubai. Despite recent reports about the extent to which Emirates’ quality of service has declined, I was impressed with every aspect of these two A380 flights. The limo pickup was on time with a friendly and helpful driver and there was only a short walk to business checkin. The Emirates lounge at Birmingham airport is spacious and well stocked and was only an equally short walk to the gate. Boarding was prompt and I will shown to my seat. There was a good choice of food and it was well served. My only criticism would have been the delay in bringing a glass of wine, forgetting my post-flight drink and having to ask to top it up. Apart from that the food was delicious and in a reasonable portions. The first A380 had the new design for the bar and there was a friendly group of passengers. The transfer at Dubai was quick and painless although allowing both economy and business passengers to exit through the same time did add some delay to exiting the aircraft. The flight to Bangkok was overnight and I chose to sleep. With the mattress, the seat was comfortable and I managed to sleep for a good three hours before being awoken for breakfast. The Wi-Fi connection on the plane was surprisingly stable and fast and there were enough movies to keep me entertained. Having flown on Emirates on a number of occasions in the past, I was relieved that although other accounts may be accurate, I found these two flights to high standard with nothing significant to complain about. The cabin crew were chatty and friendly and always keen to help answer any questions or respond to requests.",A380,Business,Business Class,Birmingham to Bangkok via Dubai,07/02/19,yes,Trip Verified,9.0,5.0,5.0,5.0,5.0,4.0,4.0,A380-800
"""a long but pleasant flight""",Solo Leisure,06/28/19,Australia," After a pleasant stay in the lounge at Dubai airport, it is a nice start to the long flight being able to board directly onto the upper deck without having to go down to the main terminal level so even though they may be boarding 80 passengers it always feels a little more civilized. It is a long but pleasant flight on the great A380, plenty of room and storage with the window seats on the upper deck. Another great crew and service and again the onboard bar is a big hit and the staff who take turns at the bar always seem friendly. Two full meals are served on this long flight a lunch and breakfast with a light snack in between with a good variety of snacks available at the bar. Emirates has a good entertainment system on all their flights with something to keep everyone entertained even on a long flight.",A380-80,Solo Leisure,Business Class,Dubai to Sydney,06/28/19,yes,Trip Verified,8.0,5.0,5.0,5.0,4.0,4.0,5.0,A380-800
"""friendly Flight attendant""",Family Leisure,06/27/19,Austria,  Venice to Dubai. Top Airline. Super Inflight entertainment and very nice meals. Very friendly Flight attendant and top Service. Comfortable seats and much legroom. ,Boeing 777-300ER,Family Leisure,Economy Class,Venice to Dubai,06/27/19,yes,Trip Verified,10.0,5.0,5.0,5.0,5.0,4.0,5.0,Boeing 777-300ER
"""the staff are very friendly""",Solo Leisure,06/27/19,Australia,"  Amsterdam to Dubai. The Emirates experience started with a complimentary chauffeur service from my hotel to the airport in a very nice Mercedes S class and being dropped at the door closest to the Emirates check in desk. I love the Emirates A380, the seat with direct aisle access for everyone, plenty of storage especially when you are in a window seat which each have two side lockers near the window. The service while great is very much a formula for the after take-off drink and meals outside these areas the staff are very friendly and seem happy to get you anything you want and this is especially the case in the bar which is a fantastic place to spend some time.",A380-800,Solo Leisure,Business Class,Amsterdam to Dubai,06/27/19,yes,Trip Verified,9.0,5.0,5.0,5.0,4.0,4.0,4.0,A380-800
"""twice upgraded to First""",Business,06/24/19,Belgium,"  Brussels to Sydney via Dubai. Booked return trip in business class, but twice upgraded to First on long legs to/from Australia on A380 as business class was full and thanks to Platinum status with Emirates Skywards. BRU-DXB legs were on 77W with the new business class product.  Flights on time, swift connections at DXB with great lounges, great IFE. The onboard food offering is very average, but I do not pay attention to eating on the plane anyway as the lounges often offer better choice and quality. Was surprised by  speed of free (also for Economy) Qantas onboard wifi on Australian domestic flights with older 737–800 compared to slower and erratic wifi on EK’s recent 77W and A380. Chauffeur pick-up and drop-off add to the overall comfort of the journey.",A380,Business,First Class,Brussels to Sydney via Dubai,06/24/19,yes,Not Verified,10.0,5.0,5.0,3.0,5.0,5.0,5.0,A380-800
"""The most over rated airline""",Family Leisure,06/20/19,United Arab Emirates," The most over rated airline! Customer service is the worst that I've experienced. Ground crews were downright rude. We asked one of the ground crew for priority boarding since we were travelling with our 6 month old baby but he only told us to go to the end of the queue in a very rude way. During the boarding they did not call priority boarding for elderly, disabled passengers and passengers travelling with babies. Cabin crews were equally as rude and dismissive. For goodness sake, we are your customers and your job is to give us good service. We are never flying Emirates anymore, especially going anywhere to Asia.",Boeing 747-400,Family Leisure,Economy Class,Dubai to Manila ,06/20/19,no,Trip Verified,1.0,2.0,1.0,1.0,1.0,1.0,2.0,Boeing 747
"""lack of professionalism""",Solo Leisure,06/20/19,United Arab Emirates,"  Dubai to Bangkok. Check-in was smooth, but the boarding procedure was chaotic with different employees shouting contradictory messages to passengers. On board, we had a 45 minute delay without even an apology; just a quick word from the captain that we were waiting for a passenger and that made us miss our time slot for taking off! When I asked a flight attendant about the delay, she kept laughing and saying ""It's fine. No problem."" I believe a polite apology has to be issued. I observed a lack of professionalism among staff I encountered. The seat was comfortable enough but my table top was broken. The movie selection was very limited for my tastes.",A380,Solo Leisure,Economy Class,Dubai to Bangkok,06/20/19,no,Trip Verified,1.0,2.0,1.0,1.0,1.0,1.0,1.0,A380-800
"""whole trip was fine""",Solo Leisure,06/19/19,United Arab Emirates,"  Beirut to Dubai. The whole trip was fine related to staff, service, welcoming. However we have moved to the bus and we waited like 20-25 mins just because 1 passenger lost something. All the passengers in the bus waited until this passenger came in. This was unacceptable as this can be managed differently. And all the crew have left before us.",Boeing 777,Solo Leisure,Economy Class,Beirut to Dubai,06/19/19,no,Trip Verified,6.0,5.0,5.0,5.0,1.0,3.0,5.0,Boeing 777-300ER
"""food was a complete let down""",Business,06/16/19,Vietnam," ADD-DXB-BKK on 14th June 2019 on B777-300ER and A380, respectively. First Flight good and hardware good but food was a complete let down. I tried my special meal (acknowledge!) and all the other three menu dishes announced. All were absolutely substandard and not edible and I am not difficult and usually eat the dogs leftovers. But this was horrible and hazardous. Food in economy was edible and better than business. There was a cheese plate that helped me to avoid to starve. No ice creams and no inspirational additionals. Rate 6/10 Dubai-Bangkok was a great experience - as good as it gets on an airplane. A380 must be the king of the skies. Likely of my best flight ever, despite I had not slept the night before. I doubt that a general 1st class experience can beat this luxurious bz-class experience by Emirates on the A380. Simply outstanding on seat “hut”, meals, drinks. The onboard Sky Bar is a solid social effort and gimmick that is impressive and hard to dislike. I like the outer seats in the 1-2-1 biz-configuration with lots of space and great window access. The sports car design works well for me and the WiFi is solid and a bonus. Special meal was sophisticated and made to perfection. Rate 10/10 Lounge provided in Addis is the Ethiopian Cloud Nine Lounge which is slightly better than their Gold lounge. Seems this lounge is improving due to Emirates as they now serve the same champagne available on board.","Boeing 777-300ER, A380",Business,Business Class,Addis Ababa to Bangkok via Dubai,06/16/19,yes,Trip Verified,8.0,5.0,4.0,3.0,5.0,4.0,5.0,Boeing 777-300ER
"""Emirates has lost its edge""",Solo Leisure,06/10/19,Australia,"  Bangkok to Hong Kong. Overall disappointed. Check In & Lounge of the standard expected, food in the Bangkok lounge was very good, as good as any EK lounge globally including Dubai. Flight was full, service was poor, catering below average and service disjointed. Main course went cold waiting for wine and dessert was inedible, gave feedback to cabin crew who tried to blame (a) catering in Bangkok isn’t as good as Dubai and (b) they were one crew member down due to illness. Frankly I don’t care, if catering is subpar out out Bangkok then are ticket prices reduced because of it - no, so don’t blame the catering, own the issue. As many here have posted, Emirates has lost its edge, staff have a mixed understanding of food and beverage service and Emirates is all show and lacks substance where it counts.",A380,Solo Leisure,Business Class,Bangkok to Hong Kong,06/10/19,no,Trip Verified,4.0,5.0,2.0,1.0,5.0,3.0,4.0,A380-800
"""not worth its fame""",Solo Leisure,06/06/19,Italy,"  Singapore to Venice via Dubai. As a regular of Qatar and Etihad on the Singapore-Europe route, this was my first time with Emirates. I would not call it a total disappointment, but the company is definitely (and sadly) not worth its fame. Positive aspects: new aircrafts, comfortable Economy seats with decent pitch, nice food (plus points for the metal cutlery), efficient ground staff. Seat selection is not complimentary and the cost disproportionate: the cheapest option for each of the 4 legs of my journey would have increased the ticket price by around 17%! Cabin service is close to no-frill airlines: no hot towel, no amenity kit, no staff walking around the aisle with trays of drinks during sleeping hours. The inflight entertainment on the A380 was a quite unresponsive touch screen with cursor. Charging plugs are only available to window and central seat. Worse part: the staff. I was told that an increasing number of Europeans had joined Emirates from Ryanair and I was displeased to see the same attitude brought to the 4-star airline. Apart from the lack of smiles and rough replies to some passengers that I could hear, the staff onboard the SIN-DXB night flight had been talking and laughing loudly in the galley for at least one hour after the light were switched off, going in and out without caring to seal the courtains. I have not seen such behaviour even on cheap low-cost carriers like Scoot or AirAsia, where the staff at least excercises the basic courtesy of letting their passengers sleep. With prices that are in line with its competitors in the region, I do not see the reason for me to fly Emirates again.",A380-800 / Boeing 777-300ER,Solo Leisure,Economy Class,Singapore to Venice via Dubai,06/06/19,no,Trip Verified,6.0,4.0,2.0,3.0,5.0,3.0,3.0,A380-800
"""deny serving the food""",Solo Leisure,06/05/19,United Arab Emirates,"  Dubai to Hyderabad. I had booked a chauffeur drive at 13.05 on 03 June with pick up point and location details clearly marked on the map while booking online. After numerous calls with Driver, Call Center of Emirates nobody showed up to pick me up even after 13.45pm. After wasting and waiting for almost 50 minutes in hot sun, I finally took a Taxi and paid to reach business arrivals terminal and neither luggage concierge nor staff bothered to help me with my luggage from taxi nor to push the trolley. I met duty manager and explained whole story and all he said was it’s okay we apologize but now please board the flight as you are late. Such a horrible customer service I never expected from Emirates, especially when traveling in business class. On-Board Experience: It’s Ramadan (fasting month for Muslims) month and I was fasting. Cabin crew informed me if am fasting then food will be served when it’s time to break my fasting but I should order the food in advance so that I get served. When it was time of breaking my fasting I asked for the food that was ordered in advance and very surprisingly crew told sorry we can’t serve the food and you need to adjust with a small sandwich box as we are planning to land. When I questioned crew why did they promised me to order food in advance and how can they deny serving the food for a fasting person then crew simply said it’s our policy and we can’t help. When I became furious then they simply gave me a quick main course to eat but I felt their frustration while getting served. I wasn’t served the food which I had preordered despite crew having enough time (around one hour was left to land the flight). Most of the passengers sitting around me enjoyed full meal (all items of menu) but I had to go through this bad experience because I was fasting. Crew argued a lot with me to explain that full meal will be served only during initial serving time and not later even if someone is fasting. I finally gave up arguing with the crew as I felt really embarrassed to ask for food again and again. ",Boeing 777,Solo Leisure,Business Class,Dubai to Hyderabad,06/05/19,no,Not Verified,4.0,4.0,2.0,2.0,2.0,2.0,3.0,Boeing 777-300ER
"""A380 is top notch""",Business,06/04/19,Italy,"  Milan to New York. A very solid product in business class with huge lounge at Milan and chaffeur service both at origin and destination. A380 is top notch in terms of comfort and quietness. Cabin crew warm, polite and efficient. I found a good improvement on catering quality and staff service in the air and at the airport. Only Qatar Airways beat Emirates with service.",A380-800,Business,Business Class,Milan to New York,06/04/19,yes,Trip Verified,9.0,4.0,4.0,4.0,4.0,4.0,5.0,A380-800
